Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
Avago,HLMP-3401,,Avnet Express,HLMP-3401,3630,1,,USD,0.43560,0.19800,,0.13530,0.11950,,,0.10070,,,,,,,,
Avago,1003213,,element14 APAC,1003213,6266,5,Bulk,SGD,,,0.16700,,,,,,,,,,,,,
Avago,1003213,,Farnell,1003213,1700,5,,GBP,,,,,0.08700,,,0.08300,0.08200,,,,,,,
Avago,AVAG-0000351,,Chip One Stop,AVAG-0000351,1012,25,,USD,,,0.24900,,0.19900,,,0.14300,0.11000,,,,,,,
Avago,HLMP-3401,,Avnet Express Europe,HLMP-3401,0,2000,,EUR,,,,,,,,,,0.08000,,,,,,
Avago,17505159,,Distrelec,17505159,80,,,EUR,0.24000,,,,,,,,,,,,,,,
Avago,826385,,RS Components,826385,3535,,,,,,,,,,,,,,,,,,,
Avago,253761,,Jameco,253761,8988,,,USD,,0.25000,,0.21000,0.19000,,,,,,,,,,,
Avago,HLMP-3401,,Angenic,HLMP-3401,90,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3401,,SIE,HLMP-3401,9400,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3401,,Euro-Tech,HLMP-3401,1400,,,,,,,,,,,,,,,,,,,
Avago,HLMP3401,,AED Electronics,HLMP3401,4000,,,,,,,,,,,,,,,,,,,
Avago,HCPL-2231,,Avnet Express,HCPL-2231,75,1,,USD,7.68720,6.26250,,5.74500,5.52330,,,5.09400,,,,,,,,
Avago,516-1061-5-ND,,Digi-Key,516-1061-5-ND,301,1,Tube,USD,10.39000,9.41300,7.45200,,6.27520,,5.88300,5.39276,5.09860,,,,,,,
Avago,HCPL-2231,,Arrow,HCPL-2231,0,1,,USD,5.90000,,,,,,,,,,,,,,,
Avago,HCPL-2231,,Avnet Express Asia,HCPL-2231,433,50,,USD,,,,4.88670,,,4.58130,4.31180,,,,,,,,
Avago,HCPL-2231,,Avnet Express Europe,HCPL-2231,0,50,,EUR,,,,5.40000,,,,,,,,,,,,
Avago,1550012,,Jameco,1550012,105,,,USD,8.75000,7.99000,,,7.25000,,,,,,,,,,,
Avago,HCPL-2231,,Freelance Electronics,HCPL-2231,0,,,USD,2.71000,,,,,,,,,,,,,,,
Avago,HCPL-2231,,Euro-Tech,HCPL-2231,41,,,,,,,,,,,,,,,,,,,
Avago,HCPL-2231,,Select Technology,HCPL-2231,1370,,,,,,,,,,,,,,,,,,,
Avago,HCPL-2231,,Component Electronics,HCPL-2231,81,,,,,,,,,,,,,,,,,,,
Avago,HCPL2231,,Area51,HCPL2231,1,,,,,,,,,,,,,,,,,,,
Avago,HCPL-3700,,Avnet Express,HCPL-3700,550,1,,USD,4.42280,3.30890,,2.96600,2.89880,,,2.61140,,,,,,,,
Avago,HCPL-3700,,Arrow,HCPL-3700,5075,1,,USD,2.98000,,,,,,,,,,,,,,,
Avago,516-1131-5-ND,,Digi-Key,516-1131-5-ND,468,1,Tube,USD,5.94000,4.95000,4.15800,,3.56400,,3.16800,2.87100,2.63340,,,,,,,
Avago,326872,,Farnell,326872,268,1,,GBP,3.47000,,2.91000,,2.66000,,2.11000,2.07000,,,,,,,,
Avago,326872,,element14 APAC,326872,112,1,Bulk,SGD,6.90000,6.57000,,,6.12000,,,5.64000,,,,,,,,
Avago,HCPL-3700,,Avnet Express Asia,HCPL-3700,0,400,,USD,,,,,,,,,,,,,,,,
Avago,HCPL-3700,,Avnet Express Europe,HCPL-3700,0,50,,EUR,,,,3.17000,,,,,,,,,,,,
Avago,1550573,,Jameco,1550573,4821,,,USD,5.75000,5.25000,,,4.79000,,,,,,,,,,,
Avago,HCPL3700,,EDX,HCPL3700,50,,,,,,,,,,,,,,,,,,,
Avago,HFBR-1521-ND,,Digi-Key,HFBR-1521-ND,0,200,Bulk,USD,,,,,,8.14000,,,,,,,,,,
Avago,HFBR-1521,,Nexus Electronics,HFBR-1521,5,,,USD,4.94000,4.94000,4.44600,4.19900,3.95200,,3.70500,3.70500,3.70500,,,,3.70500,3.70500,,
Avago,HFBR-1521,,Angenic,HFBR-1521,9,,,,,,,,,,,,,,,,,,,
Avago,HFBR-1521,,Voyager Components,HFBR-1521,6,,,,,,,,,,,,,,,,,,,
Avago,39K9947,,Newark,39K9947,8133,1,,USD,0.54700,0.39200,0.32000,,0.25600,,0.21600,0.18400,0.14400,,,,,,,
Avago,HLMP-D101,,Avnet Express,HLMP-D101,30819,1,,USD,0.51040,0.24640,,0.17160,0.15220,,,0.12870,,,,,,,,
Avago,HLMP-D101,,Arrow,HLMP-D101,6472,1,,USD,0.14460,,,,,,,,,,,,,,,
Avago,630-HLMP-D101,,Mouser,630-HLMP-D101,4783,,,USD,0.44000,0.35900,,,0.18400,,,,,,,,,,,
Avago,516-1324-ND,,Digi-Key,516-1324-ND,1720,1,Bulk,USD,0.55000,0.40000,0.32640,,0.26110,,0.22032,0.18768,0.14400,,,,,,,
Avago,1003228,,Farnell,1003228,8062,5,,GBP,,,,,0.12900,,0.10500,0.09900,0.09200,,,,,,,
Avago,1003228,,element14 APAC,1003228,10,5,Bulk,SGD,,,0.29700,,,,,,,,,,,,,
Avago,HLMP-D101,,Avnet Express Europe,HLMP-D101,0,2000,,EUR,,,,,,,,,,0.12200,,,,,,
Avago,11097423,,Distrelec,11097423,100,,,EUR,0.29000,,,,,,,,,,,,,,,
Avago,826802,,RS Components,826802,5655,,,,,,,,,,,,,,,,,,,
Avago,516-1889-ND,,Digi-Key,516-1889-ND,0,1,Bulk,USD,1.13000,0.97500,,,0.75000,,0.66000,0.55500,0.45000,,,,0.39000,,,
Avago,HFBR4501,,LittleDiode,HFBR4501,90,,,,,,,,,,,,,,,,,,,
Avago,HFBR-4501,,EarthTron,HFBR-4501,246,,,,,,,,,,,,,,,,,,,
Avago,40K0048,,Newark,40K0048,7702,1,,USD,0.41000,0.29400,0.24000,,0.19200,,0.16200,0.13800,0.10800,,,,,,,
Avago,HLMP-3301,,Avnet Express,HLMP-3301,40923,1,,USD,0.43560,0.19800,,0.13530,0.11950,,,0.10070,,,,,,,,
Avago,HLMP-3301,,Arrow,HLMP-3301,13529,1,,USD,0.10850,,,,,,,,,,,,,,,
Avago,630-HLMP-3301,,Mouser,630-HLMP-3301,11793,,,USD,0.33000,0.26900,,,0.13800,,,,,,,,,,,
Avago,516-1328-ND,,Digi-Key,516-1328-ND,9975,1,Bulk,USD,0.42000,0.30000,0.24480,,0.19580,,0.16524,0.14076,0.10800,,,,,,,
Avago,1003211,,element14 APAC,1003211,29837,5,Bulk,SGD,,,0.26000,,,,,,,,,,,,,
Avago,HLMP-3301,,Avnet Express Europe,HLMP-3301,19056,2000,,EUR,,,,,,,,,,0.09000,,,,,,
Avago,1003211,,Farnell,1003211,12788,5,,GBP,,,,,0.08900,,,0.08400,0.08100,,,,,,,
Avago,AVAG-0000346,,Chip One Stop,AVAG-0000346,2276,5,,USD,,,0.19000,0.18600,0.18300,,,0.15200,0.14500,,,,,,,
Avago,HLMP-3301,,Avnet Express Asia,HLMP-3301,0,16000,,USD,,,,,,,,,,,,,,,,
Avago,17505142,,Distrelec,17505142,843,,,EUR,0.24000,,,,,,,,,,,,,,,
Avago,826363,,RS Components,826363,10510,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3301,,Freelance Electronics,HLMP-3301,600,,,USD,0.07000,,,,,,,,,,,,,,,
Avago,HLMP-3301,,Angenic,HLMP-3301,8000,,,,,,,,,,,,,,,,,,,
Avago,HLMP3301,,LittleDiode,HLMP3301,543,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3301,,Nexus Electronics,HLMP-3301,170,,,,,,,,,,,,,,,,,,,
Avago,HLMP3301,,Ralph's Elec.,HLMP3301,15,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3301,,SIE,HLMP-3301,16229,,,,,,,,,,,,,,,,,,,
Avago,HLMP3301,,Cyclops Electronics,HLMP3301,1500,,,,,,,,,,,,,,,,,,,
Avago,HLMP3301,,Express Electronics,HLMP3301,1500,,,,,,,,,,,,,,,,,,,
Avago,40K0061,,Newark,40K0061,8766,1,,USD,0.41000,0.29400,0.24000,,0.19200,,0.16200,0.13800,0.10800,,,,,,,
Avago,630-HLMP-3507,,Mouser,630-HLMP-3507,32644,,,USD,0.33000,0.26900,,,0.13800,,,,,,,,,,,
Avago,HLMP-3507,,Avnet Express,HLMP-3507,24098,1,,USD,0.43560,0.19800,,0.13530,0.11950,,,0.10070,,,,,,,,
Avago,516-1333-ND,,Digi-Key,516-1333-ND,18201,1,Bulk,USD,0.42000,0.30000,0.24480,,0.19580,,0.16524,0.14076,0.10800,,,,,,,
Avago,1003214,,element14 APAC,1003214,25637,5,Bulk,SGD,,,0.16700,,,,,,,,,,,,,
Avago,HLMP-3507,,Arrow,HLMP-3507,4297,1,,USD,0.10850,,,,,,,,,,,,,,,
Avago,1003214,,Farnell,1003214,18000,5,,GBP,,,,,0.06600,,,0.06300,0.06100,,,,,,,
Avago,HLMP-3507,,Avnet Express Europe,HLMP-3507,10527,2000,,EUR,,,,,,,,,,0.08000,,,,,,
Avago,AVAG-0000355,,Chip One Stop,AVAG-0000355,1760,25,,USD,,,0.17000,,0.16300,,,0.14000,0.12900,,,,,,,
Avago,HLMP-3507,,Avnet Express Asia,HLMP-3507,0,16000,,USD,,,,,,,,,,,,,,,,
Avago,17505167,,Distrelec,17505167,304,,,EUR,0.25000,,,,,,,,,,,,,,,
Avago,826379,,RS Components,826379,13415,,,,,,,,,,,,,,,,,,,
Avago,253770,,Jameco,253770,4120,,,USD,,0.25000,,0.21000,0.19000,,,,,,,,,,,
Avago,HLMP-3507,,Nexus Electronics,HLMP-3507,1,,,USD,0.46000,0.46000,0.46000,0.36800,0.32200,,0.32200,0.27600,0.23000,,,,0.18400,0.18400,,
Avago,HLMP3507,,LittleDiode,HLMP3507,62,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3507,,Cyclops Electronics,HLMP-3507,500,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3507,,SIE,HLMP-3507,9675,,,,,,,,,,,,,,,,,,,
Avago,HLMP-3507,,Express Electronics,HLMP-3507,500,,,,,,,,,,,,,,,,,,,
Avago,40K0080,,Newark,40K0080,4009,1,,USD,0.50000,0.39000,0.32500,,0.28000,,0.25000,0.21500,0.16600,,,,,,,
Avago,HLMP-4700,,Avnet Express Europe,HLMP-4700,35084,2000,,EUR,,,,,,,,,,0.12000,,,,0.08700,,
Avago,HLMP-4700,,Avnet Express,HLMP-4700,830,1,,USD,0.55000,0.28600,,0.20350,0.18150,,,0.15400,,,,,,,,
Avago,630-HLMP-4700,,Mouser,630-HLMP-4700,6916,,,USD,0.50000,0.32500,,,0.21500,,,,,,,,,,,
Avago,516-1325-ND,,Digi-Key,516-1325-ND,3721,1,Bulk,USD,0.51000,0.39800,0.33160,,0.28560,,0.25500,0.21930,0.16600,,,,,,,
Avago,HLMP-4700,,Arrow,HLMP-4700,0,1,,USD,0.18980,,,,,,,,,,,,,,,
Avago,1003232,,element14 APAC,1003232,5919,1,Bulk,SGD,0.73000,0.47400,,,0.31400,,,,0.23400,0.20400,,,,,,
Avago,1003232,,Farnell,1003232,2097,5,,GBP,,,,,,,,,0.10500,,,,0.09600,,,
Avago,HLMP-4700,,Avnet Express Asia,HLMP-4700,0,10000,,USD,,,,,,,,,,,,,,0.07150,,
Avago,AVAG-0000373,,Chip One Stop,AVAG-0000373,519,5,,USD,,,0.23800,0.23300,0.22800,,,0.19000,,,,,,,,
Avago,17505340,,Distrelec,17505340,276,,,EUR,0.39000,,,,,,,,,,,,,,,
Avago,590547,,RS Components,590547,12065,,,,,,,,,,,,,,,,,,,
Avago,HLMP4700,,LittleDiode,HLMP4700,97,,,,,,,,,,,,,,,,,,,
Avago,HLMP-4700,,Euro-Tech,HLMP-4700,1000,,,,,,,,,,,,,,,,,,,
Avago,HLMP-4700,,EarthTron,HLMP-4700,4612,,,,,,,,,,,,,,,,,,,
Avago,40K0036,,Newark,40K0036,2547,1,,USD,0.54700,0.39200,0.32000,,0.25600,,0.21600,0.18400,0.14400,,,,,,,
Avago,HLMP-1540,,Avnet Express,HLMP-1540,23156,1,,USD,0.51040,0.24640,,0.17160,0.15220,,,0.12870,,,,,,,,
Avago,516-1301-ND,,Digi-Key,516-1301-ND,17375,1,Bulk,USD,0.55000,0.40000,0.32640,,0.26110,,0.22032,0.18768,0.14400,,,,,,,
Avago,630-HLMP-1540,,Mouser,630-HLMP-1540,16227,,,USD,0.44000,0.35900,,,0.18400,,,,,,,,,,,
Avago,HLMP-1540,,Arrow,HLMP-1540,4823,1,,USD,0.14460,,,,,,,,,,,,,,,
Avago,HLMP-1540,,Avnet Express Europe,HLMP-1540,12845,2000,,EUR,,,,,,,,,,0.12200,,,,0.08850,,
Avago,1003204,,element14 APAC,1003204,8095,5,Bulk,SGD,,,0.19600,,,,,,,,,,,,,
Avago,1003204,,Farnell,1003204,7705,5,,GBP,,,,,,,,,0.09700,,,,0.07250,0.07100,,
Avago,17510143,,Distrelec,17510143,1882,,,EUR,0.31000,,,,,,,,,,,,,,,
Avago,HLMP-1540,,Avnet Express Asia,HLMP-1540,0,10000,,USD,,,,,,,,,,,,,,0.07150,,
Avago,AVAG-0000320,,Chip One Stop,AVAG-0000320,51,5,,USD,,,0.23800,0.23300,,,,,,,,,,,,
Avago,826638P,,RS Components,826638P,7000,,,,,,,,,,,,,,,,,,,
Avago,24040152,,PriceLynx,24040152,8033,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1540,,Electronic Expediters,HLMP-1540,90,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1540,,Angenic,HLMP-1540,1,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1540,,SIE,HLMP-1540,21327,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1540,,Component Sense 24,HLMP-1540,13249,,,,,,,,,,,,,,,,,,,
Avago,40K0044,,Newark,40K0044,3077,1,,USD,0.50000,0.39000,0.32500,,0.28000,,0.25000,0.21500,0.16600,,,,,,,
Avago,HLMP-1700,,Avnet Express,HLMP-1700,75778,1,,USD,0.55000,0.28600,,0.20350,0.18150,,,0.15400,,,,,,,,
Avago,630-HLMP-1700,,Mouser,630-HLMP-1700,16788,,,USD,0.50000,0.32500,,,0.21500,,,,,,,,,,,
Avago,516-1308-ND,,Digi-Key,516-1308-ND,17022,1,Bulk,USD,0.50000,0.39000,0.32520,,0.28000,,0.25000,0.21500,0.16600,,,,,,,
Avago,1003207,,element14 APAC,1003207,42839,10,Bulk,SGD,,0.27000,,0.22100,,0.19400,,0.17600,0.17000,,,,,,,
Avago,1003207,,Farnell,1003207,42440,5,,GBP,,,,,0.15700,,,0.13600,0.10100,0.09500,,,,,,
Avago,HLMP-1700,,Arrow,HLMP-1700,0,1,,USD,0.18260,,,,,,,,,,,,,,,
Avago,HLMP-1700,,Avnet Express Europe,HLMP-1700,0,2000,,EUR,,,,,,,,,,0.11200,,,,,,
Avago,HLMP-1700,,Avnet Express Asia,HLMP-1700,0,12000,,USD,,,,,,,,,,,,,,,,
Avago,AVAG-0000327,,Chip One Stop,AVAG-0000327,1848,5,,USD,,,0.21400,0.21000,0.20500,,,0.17100,0.16300,,,,,,,
Avago,17505308,,Distrelec,17505308,326,,,EUR,0.24000,,,,,,,,,,,,,,,
Avago,1711234,,RS Components,1711234,8630,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1700,,TME,HLMP-1700,3800,100,,USD,,,,,0.16100,,,0.14400,0.13200,0.11500,,,,,,
Avago,HLMP1700,,LittleDiode,HLMP1700,255,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1700,,SIE,HLMP-1700,11370,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1700,,EarthTron,HLMP-1700,2482,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1700,,Rotakorn,HLMP-1700,900,,,,,,,,,,,,,,,,,,,
Avago,40K0046,,Newark,40K0046,2964,1,,USD,0.50000,0.39000,0.32500,,0.28000,,0.25000,0.21500,0.16600,,,,,,,
Avago,HLMP-1790,,Arrow,HLMP-1790,57210,1,,USD,0.18260,,,,,,,,,,,,,,,
Avago,HLMP-1790,,Avnet Express Europe,HLMP-1790,131055,2000,,EUR,,,,,,,,,,0.10800,,,,0.07830,,
Avago,HLMP-1790,,Avnet Express,HLMP-1790,6240,1,,USD,0.55000,0.28600,,0.20350,0.18150,,,0.15400,,,,,,,,
Avago,630-HLMP-1790,,Mouser,630-HLMP-1790,9569,,,USD,0.50000,0.32500,,,0.21500,,,,,,,,,,,
Avago,516-1310-ND,,Digi-Key,516-1310-ND,10794,1,Bulk,USD,0.51000,0.39800,0.33160,,0.28560,,0.25500,0.21930,0.16600,,,,,,,
Avago,1003209,,element14 APAC,1003209,27037,10,Bulk,SGD,,0.09400,,,,,,,,,,,,,,
Avago,1003209,,Farnell,1003209,13411,5,,GBP,,,,,0.14400,,,0.12400,0.11100,0.09990,,,,,,
Avago,HLMP-1790,,Avnet Express Asia,HLMP-1790,0,12000,,USD,,,,,,,,,,,,,,,,
Avago,AVAG-0000329,,Chip One Stop,AVAG-0000329,1725,5,,USD,,,0.21400,0.21000,0.20500,,,0.17100,0.16300,,,,,,,
Avago,17505324,,Distrelec,17505324,1118,,,EUR,0.42000,,,,,,,,,,,,,,,
Avago,1808451,,RS Components,1808451,40980,,,,,,,,,,,,,,,,,,,
Avago,253681,,Jameco,253681,54587,,,USD,,0.39000,,0.35000,0.32000,,,,,,,,,,,
Avago,HLMP-1790,,Quest,HLMP-1790,1234,,,USD,0.90000,,,,,,,,,,,,,,,
Avago,HLMP-1790,,Gerber,HLMP-1790,15,,,USD,0.38000,,,,,,,,,,,,,,,
Avago,HLMP-1790,,Angenic,HLMP-1790,664,,,,,,,,,,,,,,,,,,,
