Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
RFMD,689-1001-1-ND,,Digi-Key,689-1001-1-ND,1350,1,Cut Tape,USD,11.76000,10.57900,9.62160,,8.70960,,7.98000,7.29600,,,,,,,,
RFMD,689-1001-2-ND,,Digi-Key,689-1001-2-ND,1000,1000,Tape & Reel,USD,,,,,,,,,6.15600,5.92800,,,5.70000,5.60880,,
RFMD,689-1054-ND,,Digi-Key,689-1054-ND,7,1,Box,USD,168.75000,,,,,,,,,,,,,,,
RFMD,RF2119TR7,,Quest,RF2119TR7,13244,,,USD,5.85000,,,,,,,,,,,,,,,
RFMD,689-1002-6-ND,,Digi-Key,689-1002-6-ND,3956,1,Custom Reel,USD,11.76000,10.57900,9.62160,,8.70960,,7.98000,7.29600,,,,,,,,
RFMD,689-1002-1-ND,,Digi-Key,689-1002-1-ND,3956,1,Cut Tape,USD,11.76000,10.57900,9.62160,,8.70960,,7.98000,7.29600,,,,,,,,
RFMD,689-1002-2-ND,,Digi-Key,689-1002-2-ND,3000,1000,Tape & Reel,USD,,,,,,,,,6.15600,5.92800,,,5.70000,5.60880,,
RFMD,NBB-400-T1,,Angenic,NBB-400-T1,46,,,,,,,,,,,,,,,,,,,
RFMD,689-1003-1-ND,,Digi-Key,689-1003-1-ND,0,1,Cut Tape,USD,3.14000,2.81200,2.52880,,2.29990,,2.08192,1.86390,,,,,,,,
RFMD,689-1003-2-ND,,Digi-Key,689-1003-2-ND,0,1000,Tape & Reel,USD,,,,,,,,,1.52600,,,,,,,
RFMD,RF9234TR13X,,Express Electronics,RF9234TR13X,140,,,,,,,,,,,,,,,,,,,
RFMD,RF9234TR13X,,Cyclops Electronics,RF9234TR13X,140,,,,,,,,,,,,,,,,,,,
RFMD,RF2401,,Harry Krantz,RF2401,86,,,,,,,,,,,,,,,,,,,
